title;description;accommodation;neighbourhood;rating;evaluators;typeAcomodation;price
Apartamento em Manaíra;Uno Flats 201 - Comodidade, luxo e lazer;2 camas;Manaíra;4.89;245;Apartamento;R$143
Apartamento em Tambaú;Lindo Flat na orla da praia de Tambaú.;1 cama de casal;Tambaú;4.44;274;Apartamento;R$137
Apartamento em Cabo Branco;GoldFlat Cabo Branco;1 cama;Cabo Branco;4.69;65;Apartamento;R$169
Apartamento em Manaíra;Uno Flats #11 - luxo pertinho da praia;2 camas;Manaíra;4.9;156;Apartamento;R$143
Apartamento em Intermares;Flat mobiliado na Praia ,João pessoa / Cabedelo PB;2 camas;Intermares;4.6;175;Apartamento;R$80
Apartamento em Manaíra;FLAT ONE #LT01;1 cama queen;Manaíra;4.75;144;Apartamento;R$148
Apartamento em Cabo Branco;Flat com vista da piscina e perto do Mar;2 camas;Cabo Branco;4.76;68;Apartamento;R$146
Quarto inteiro em Jardim Oceania;Suite a metros da praia...;2 camas de casal;Jardim Oceania;4.94;185;Quarto inteiro;R$59
Apartamento em Intermares;Flat mobiliado Praia , João pessoa / Cabedelo PB;2 camas;Intermares;4.7;282;Apartamento;R$91
Apartamento em João Pessoa ;UnoFlat 307 -Comodidade, luxo, lazer num só lugar!;2 camas;João Pessoa ;4.9;331;Apartamento;R$199
Apartamento em Cabo Branco;Apartamento Maravilhoso no Gold Flat;1 cama queen;Cabo Branco;4.58;107;Apartamento;R$160
Apartamento em Cabo Branco;Apart Flat 202 encantador, 100 metros do mar.;1 cama queen;Cabo Branco;4.7;104;Apartamento;R$181
Loft em Cabo Branco;Apto luxuoso em hotel na praia de Cabo Branco;3 camas;Cabo Branco;4.58;131;Outro;R$167
Apartamento em Cabo Branco;Apt amplo em luxuoso Hotel a 50 metros da praia;4 camas;Cabo Branco;4.83;69;Apartamento;R$160
Apartamento em João Pessoa;Ótimo Apartamento em  Tambauzinho, João Pessoa.;3 camas;João Pessoa;4.45;156;Apartamento;R$114
Apartamento em João Pessoa;Flat em Manaíra Uno Flats 102 Luxuoso 50m da orla;2 camas;João Pessoa;4.88;116;Apartamento;R$190
Apartamento em João Pessoa;Israel Flat Tambaú;1 cama;João Pessoa;0;0;Apartamento;R$134
